epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.7634,1.16524,6.7406,1.45781,0.52728,0.08478,0.07808,0.05768,1.46486,4.05924,1.37812,0.000467185,0.000155728,0.000467185,0.000155728,0.000467185,0.000155728,0.000467185,0.000155728
2,62.8138,0.93036,3.41934,1.2557,0.95486,0.12022,0.14201,0.09261,1.42329,2.43719,1.34141,0.000896498,0.000298833,0.000896498,0.000298833,0.000896498,0.000298833,0.000896498,0.000298833
3,82.5406,0.83551,2.27421,1.20315,0.95797,0.13202,0.17776,0.10824,1.4445,2.13744,1.34821,0.00127869,0.000426229,0.00127869,0.000426229,0.00127869,0.000426229,0.00127869,0.000426229
4,102.204,0.78264,1.63126,1.11748,0.96955,0.15638,0.17366,0.11075,1.34325,1.83063,1.28404,0.00121594,0.000405314,0.00121594,0.000405314,0.00121594,0.000405314,0.00121594,0.000405314
5,121.373,0.77296,1.34829,1.098,0.97523,0.1573,0.18208,0.1144,1.42786,1.75108,1.31093,0.00114526,0.000381752,0.00114526,0.000381752,0.00114526,0.000381752,0.00114526,0.000381752
6,141.471,0.70288,0.92007,1.04673,0.97254,0.16067,0.17592,0.11183,1.39894,1.77457,1.28531,0.00107457,0.00035819,0.00107457,0.00035819,0.00107457,0.00035819,0.00107457,0.00035819
7,161.36,0.68973,0.81988,1.02785,0.77039,0.15195,0.17962,0.11136,1.42994,1.74788,1.30607,0.00100388,0.000334628,0.00100388,0.000334628,0.00100388,0.000334628,0.00100388,0.000334628
8,181.347,0.64872,0.70878,1.01046,0.37084,0.15899,0.20603,0.11073,1.48761,1.71323,1.34516,0.000933198,0.000311066,0.000933198,0.000311066,0.000933198,0.000311066,0.000933198,0.000311066
9,201.067,0.63555,0.63469,1.01989,0.14653,0.23767,0.21264,0.119,1.39869,1.72275,1.30835,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504
10,221.254,0.62962,0.60219,1.00793,0.17883,0.1618,0.20705,0.11326,1.45994,1.70305,1.34647,0.000791826,0.000263942,0.000791826,0.000263942,0.000791826,0.000263942,0.000791826,0.000263942
11,241.998,0.5853,0.64956,0.9713,0.36545,0.16517,0.18156,0.10942,1.45235,1.8143,1.34122,0.00072114,0.00024038,0.00072114,0.00024038,0.00072114,0.00024038,0.00072114,0.00024038
12,261.343,0.56195,0.64558,0.95764,0.14988,0.16517,0.16815,0.09895,1.43505,1.74478,1.32917,0.000650454,0.000216818,0.000650454,0.000216818,0.000650454,0.000216818,0.000650454,0.000216818
13,280.289,0.53804,0.57532,0.91899,0.36378,0.15787,0.1752,0.10654,1.39975,1.78428,1.29367,0.000579768,0.000193256,0.000579768,0.000193256,0.000579768,0.000193256,0.000579768,0.000193256
14,299.929,0.53935,0.52901,0.91986,0.15468,0.16236,0.17295,0.10116,1.43548,1.79546,1.33022,0.000509082,0.000169694,0.000509082,0.000169694,0.000509082,0.000169694,0.000509082,0.000169694
15,319.734,0.5255,0.52309,0.91636,0.15071,0.16348,0.16836,0.09983,1.44279,1.82876,1.32999,0.000438396,0.000146132,0.000438396,0.000146132,0.000438396,0.000146132,0.000438396,0.000146132
16,339.439,0.51922,0.48941,0.90276,0.35806,0.15458,0.17645,0.10272,1.46402,1.81466,1.35556,0.00036771,0.00012257,0.00036771,0.00012257,0.00036771,0.00012257,0.00036771,0.00012257
17,358.707,0.51863,0.48522,0.89965,0.36182,0.15843,0.195,0.10758,1.48574,1.80454,1.36267,0.000297024,9.9008e-05,0.000297024,9.9008e-05,0.000297024,9.9008e-05,0.000297024,9.9008e-05
18,378.216,0.514,0.48619,0.9151,0.3759,0.14382,0.18956,0.10625,1.47381,1.8146,1.35564,0.000226338,7.5446e-05,0.000226338,7.5446e-05,0.000226338,7.5446e-05,0.000226338,7.5446e-05
19,397.902,0.53892,0.48019,0.91273,0.36048,0.15225,0.17667,0.1023,1.46876,1.83113,1.35691,0.000155652,5.1884e-05,0.000155652,5.1884e-05,0.000155652,5.1884e-05,0.000155652,5.1884e-05
20,416.874,0.52313,0.46141,0.9008,0.3612,0.15674,0.17654,0.10574,1.45314,1.8406,1.34547,8.4966e-05,2.8322e-05,8.4966e-05,2.8322e-05,8.4966e-05,2.8322e-05,8.4966e-05,2.8322e-05
